,,Gov Id,T1 Diff,T2 Diff,T3 Diff,T4 Diff,T5 Diff,Deads,Formula
51,bigstone,33876264,34805,38698,13095,584262,1104528,353928,4916886
531,۞Lissa۞,37756270,31298,1309,11304,1128571,825469,348494,4870473
380,Sirvano,60954941,219615,69189,95449,1598355,773597,285554,4858873
599,自由ㅅ 自在,59967543,31352,5881,636,659199,205662,615250,4762023
368,Scott I武统,95317724,965859,115234,225631,3123840,789561,8986,4756878
452,WIN CôngĐạt,67246450,126300,14843,47021,1118736,870463,305024,4689806
139,Fluff n Fatale,62104788,64414,30095,1332,1198096,1237232,166533,4671758
522,ßRÉÉŽŸ,96558455,5318,73,193,767026,1618140,110726,4667662
95,DRIFTERS187,62166694,3932,19924,1690,392511,730840,461184,4621295
61,Bye Tuga,63575767,57544,14556,14650,627937,450648,515182,4620325
27,AtticusWiggleBs,80187532,17427,30,267,609033,798467,398964,4599751
256,MatYaki,56267611,15228,6563,533,1262349,591039,358445,4595097
407,MikeScofield OG,59692706,15915,7726,4705,534523,702229,440505,4582011
192,JealousSs,67147404,41099,11003,1694,617415,748155,409675,4571775
470,Yura09 OG,59151829,17910,10492,28006,841531,586597,426116,4571421
345,ᴬMinnie,86176618,3764,21112,93846,894405,865147,324124,4569443
409,Gunarboy,66802116,5568,2352,4356,805601,808078,356023,4557895
475,Zãnøagã,83526855,38486,0,161,1283942,1484368,49580,4550158
14,Alex18Croatia,21090207,0,0,0,889476,1418710,133578,4528364
463,XyouX,63627672,50301,5601,5656,412099,469615,527065,4513719
391,F2P KiMi,80781472,10130,1005,15,673226,620566,431694,4504522
335,R4j44,63951987,35511,4911,5822,561876,608967,446884,4461114
236,Louie13,69545360,17676,0,20,867370,1134916,217234,4440606
384,Prëtty,66903398,4819,4,962,526144,818702,369511,4380614
3,Sumitomo SH210,66337757,160990,140,2758,883845,471822,425387,4379811
69,COBIN,44665294,36884,0,0,917351,730525,328557,4349743
539,ᴹʳ ŦǤØ,88203498,68458,36815,4451,683173,960437,287571,4329473
569,Lord卩nus,78804129,12864,589,3606,481491,722203,398001,4313903
316,Tias666,79884545,1880,4316,463,556499,892756,326509,4301065
152,Gilded Goat,96242448,54953,2463,2749,388179,750948,396795,4270845
202,KhaLᴇᴇsí,73925214,186,91,2832,650841,673917,374973,4248513
46,Big Daddy BaBa,30316476,21988,5037,3898,732105,1062957,227988,4225947
413,MeFiSt0ᶤᶺ,83571282,30487,7665,3,724704,559978,396297,4222442
424,Sugar๛ 0070,77846662,811675,276368,641847,1973299,97766,339564,4206215
432,The Clownfish,11075518,68374,98668,38436,884859,1228474,141846,4192883
340,RV EMONᴮᴰ,61834122,12515,5303,0,585005,937382,270518,4082877
540,ᴹᴬᴸer OG,74585022,912066,79394,841033,506288,394544,461261,4062942
300,TP I BENTURK,75712086,13604,1163,96060,865052,463328,372086,4024224
490,Anarchy lord,51415089,0,0,0,17879,87630,619198,3908327
379,SirKage,21464563,51708,4108,115776,850025,631837,290611,3857365
527,ʇuɐɥɔɹǝW,39693303,16659,2507,717,981887,953764,154353,3815533
543,ᴹᴰjrwn,9322230,8990,4009,812,929379,487548,317096,3807051
479,bArBaBiAnCa,63686087,230419,179936,14,634053,626546,317484,3792049
303,PREDATOŔ,68605432,43319,8307,543,397271,386741,435268,3782361
481,bioruben,67058811,0,0,0,594397,1186433,131360,3755423
488,lady talia,63469420,50720,4516,2304,597677,633243,300796,3668939
274,Mve,3094944,66565,1952,2808,780477,594809,273691,3612241
333,QuicheeeX,51380796,9904,6750,0,1012522,674493,201710,3571768
195,Aoi  Sora,68399761,8831,453,415,461271,539178,332308,3533475
579,义Sala义,66466622,6309,2427,10813,641867,606037,270963,3479719
305,PT PTT  ジ,77930129,3335,140,3,1016544,1052702,57613,3467626
363,SHAFINᴿⱽ,62017877,9890,2804,933,561828,532466,305559,3460114
246,M3llow Row,97465809,20830,417,350,675217,662936,235662,3415061
217,ZettuS,84895741,4141,864,2917,819827,256991,337232,3357201
285,Novalk ALL,67116818,86359,3901,4484,588508,547827,277729,3350536
231,SmileMorning,66817290,20109,7737,808,315197,468664,344213,3317803
337,RC STING,58359807,74762,3798,6197,1327384,301206,220271,3251422
429,Taco Banderas,12168880,1,2451,20,647243,855591,146466,3237221
187,ItsAki II,16353531,38505,55977,1786,213637,38844,486296,3209101
399,亗 FJ zi 亗,37421375,30910,532,4991,678980,449824,253258,3098176
156,Guam81,63720400,192949,50087,200029,597596,575391,223721,3090704
130,Fatima Az zahra,68715283,1044959,1673,193,517146,614057,220278,3066928
410,Cousᶤᶺ,83660407,11579,533,243,365482,361897,322555,3024606
116,EVillord,65935461,57709,7,209,713695,1060631,30588,3018485
72,CYBele,60297432,20031,2322,3909,341578,428601,302204,3012004
284,NjörD,79774474,9922,590,20,959163,289744,242458,2993399
585,恒纪元之星,42882386,6354,46891,30418,1233068,431953,146888,2978302
103,DedZēd,81744337,2721,718,3307,394226,755679,177691,2971730
125,M3llow FAITH,83201249,7643,850,105,887733,721711,103516,2952251
65,CANİK TR,79444007,22300,40080,82175,666471,238268,300194,2944171
132,FaustPicaro,62074305,0,0,271,254584,1093991,83391,2942912
370,Seon deok,56084361,12,0,0,1075420,889254,6273,2891566
201,Loard2002 OG,71064808,2210,529,5045,762118,915264,49658,2890594
312,ˢᵗᵐ R4J44,67130734,1212,79,296,504534,402715,259301,2865770
529,Тuz,76218861,-8998389,-3000000,-4999919,1049917,400349,169043,2864873
466,ᴬbe happy bro,22020212,1675,620,0,535991,645221,172259,2859987
382,GXarwana,53938211,0,0,0,165792,354029,330667,2857852
465,YONUS,34359083,0,0,0,272471,292951,321836,2789389
406,XxxNOBLExxX,76025975,1,4867,5,777895,598089,130983,2759971
228,ETHx,19626853,127,0,0,274198,221149,338619,2748210
526,ɴooᴅʟᴇ,5716022,4984,97,0,1274575,356333,122205,2720471
237,Louylou,9771821,10024,14312,13584,325842,561203,208828,2701216
375,Simontx OG,69847791,179177,16066,55057,495722,403990,232705,2699932
438,Traxxxx,17780812,1308,0,0,724036,942889,7663,2655792
421,SpartaCouilles,82856645,20733,8493,17512,589500,515667,169117,2635536
299,B AL AZS,63572648,0,0,0,737549,528023,139382,2629887
548,ᵀᴴᴱWIZARD,53803289,6420,0,0,400649,283841,276358,2626479
513,x   Z I O N   x,70218713,6675,1997,0,247975,300482,285842,2563991
163,Harutya OG,60334815,1271,0,8120,708621,696369,73232,2540751
473,Zenxer,58195110,23248,2397,10672,492182,707285,97391,2491098
400,Paroquetᶤᶺ,83714282,3589,9103,1923,330100,373226,226836,2437568
397,safred,65429385,1662,4124,77102,219016,285514,269329,2406018
257,Melo 06,55846661,113845,610968,1819744,675179,0,286749,2395673
292,Oxiurus Maximus,53317858,37350,0,0,622610,880336,0,2383282
507,oeschapa,43366078,319,0,6345,347643,357840,217234,2366727
411,MmDASHᶤᶺ,57403982,1034,70,0,131788,189802,308653,2363310
415,twєєtч,73802284,0,0,0,490154,814990,38700,2352334
395,NEMOˢᵃᵈ,62241563,0,0,0,112591,64775,350791,2346887
571,Trøøpër LKW,96215472,5690,2270,0,732786,696186,35160,2336118
242,Goolins,57418518,431772,1032141,252632,830131,405341,115532,2334005
498,mustachfarm,16578265,0,0,11,165285,224190,270351,2235771
147,Gaia Kight Chao,15800654,3,1,468,566877,60689,250052,2188567
553,ᶦᶰᵈカラス,63286295,298,0,162,427377,468905,137173,2188225
383,Hispaniaᶤᶺ,83556524,1625,97,19,210881,363687,202977,2156117
487,kokoroo OG,39976329,20,555,0,222097,455083,164343,2118321
389,Ali Gátor,86002978,68504,1639,2314,267618,357184,182263,2075564
138,Flintチだ院,74919143,0,0,0,250833,283356,209583,2075043
310,R38 Hunter,85832280,0,0,52,715772,554116,40140,2064844
584,尺V AsiF,62017843,265616,48652,61446,318417,681609,63079,2060109
533,ᴍʀ Delaney,89893125,10444,6485,2333,222892,276299,205615,2009180
39,Barbosah,53734445,0,0,0,529818,654718,22659,1975208
117,EDD XXXVII,61069638,9285,22506,16,687342,310062,110384,1969770
37,Bangᴿⱽ,58615587,1,0,2441,305954,496691,108956,1953072
387,Dwardo1,63601569,16698,0,0,395284,529067,79392,1929770
298,BIICHO DORADO,17502418,13086,2442,1191,277661,474429,114106,1911155
321,Pochemuchka,10154350,3571,940,0,552522,549846,42791,1908960
414,G A N J A A A,79819283,61299,52841,128068,840209,312777,70542,1889015
339,RJMB,76158410,1546,341,0,408504,406919,109598,1879930
430,Tesssssss,33738298,9569,28,0,251044,268522,179173,1863126
185,ackerman тит,38390141,3873,129,0,650756,438996,53783,1851446
394,NOBÎTA,45486740,4971,1504,567,350817,440713,101388,1840571
36,Bamboo ALL,67074469,20366,0,0,318315,462070,96749,1822949
403,ᵀᴶ Badboy,69199791,1,0,0,207574,493726,96459,1773780
306,Equuleus,55567655,5141,163,992,319941,281221,146431,1760969
550,ᵛⁿDVHⁿᵛ,84652781,0,0,0,132996,433757,125899,1755904
57,Brown Sugar KWT,96204830,4078,0,0,206154,336186,138167,1707528
408,Adragar ᶤᶺ,83307848,7684,0,273,365904,151635,169989,1689108
518,ÆTERNALS,57922872,20822,2454,0,564438,374278,51882,1624286
428,TabZkie,27960822,0,0,0,472665,572955,0,1618575
484,么LFA TR,21494429,82069,149364,74326,70018,180236,192824,1587434
535,ᴮᴰNIMROD,76490131,21069,4632,890,295250,213661,141108,1569220
266,Momma Chode,2743724,0,0,0,366942,516336,27011,1561680
32,BENORAN,79083099,14863,27222,110,228400,444134,65668,1510676
478,axiaKing ツ OG,40823396,17169,1653,6835,420870,447358,31849,1506680
332,Queen jail,69665867,3507,756,0,309500,400591,65234,1502086
64,C h i K a,47257003,216625,72719,12449,1011076,102884,47091,1499390
516,xpad,76218406,2599,8455,609,296870,417964,58188,1481926
538,ᴷᴳ김사나,77683403,91647,7994,3535,219552,226135,120935,1397432
16,Alotta Fagina,16891821,129,0,0,408089,494156,0,1396401
369,Seed420,65750039,0,0,0,422186,441446,8613,1356756
277,NAIF EVIL,85880212,7742,1799,4682,232026,353702,68475,1350280
141,Funtôme Sakura,34869648,1803,435,0,113020,192642,141582,1347796
545,ᴾᵁ Dreams,83563824,19206,0,9,270347,381074,49503,1329513
388,云 Ericarenee,79607276,11366,9799,13450,287916,180003,112296,1321698
154,GremlinQUEEN,23205212,35933,2710,905,141172,221428,122488,1318956
417,Small SupDup,97102262,5,0,0,143238,379552,57299,1246136
12,义ShAdEnO5义,61109803,8323,3767,13408,477203,221909,49912,1220493
109,Dotsawnt,96196248,0,0,0,13966,593101,0,1200168
203,Khaled Ben Wali,46217069,0,0,0,77457,26987,172292,1165183
326,Pro RoK,38895906,436,0,506,123637,471422,8785,1119191
164,Heo Bé Ba,79756107,7954,4511,354,167474,303273,57336,1118036
301,ç ī m ø ľ,71363203,7830,1932,2342,342675,121134,85110,1095603
496,miss u wim,60891605,0,11,247,429742,175810,52248,1094850
168,Hoa Queen,49219204,1,0,0,314262,369878,0,1054018
544,ᴾᴿᴼシ F1,79837494,35925,0,0,563327,128873,31989,1013007
83,Chipi2021,84863879,20695,391,56,163511,214666,67772,999475
348,RichCupcake,66006431,0,0,0,97481,98108,113043,971955
464,Y Amlak K,73670637,26430,1140,0,291856,212565,41240,964426
260,Mighty Ares OG,60222813,1635,438,210,321849,191144,38623,935875
511,viddik,29137686,1002,0,0,412647,252693,0,918033
244,M3llow Poro,96055460,1,0,0,256662,198739,42950,911840
396,么LFA  TR,77544243,4286,294,5372,157180,133540,78778,896928
555,サイタマ one punch,38997259,0,0,0,229223,330118,826,894415
557,ヅIsmail 义,34358347,0,0,0,149853,93100,80765,820643
159,G҉a҉r҉i҉p҉,68627238,1,0,0,209924,298620,0,807164
594,火 Z E Y Z,71841266,12038,431,0,104886,97513,78763,772490
34,MV KAOZ,48452348,0,0,0,74103,31822,103790,760487
440,Vieja Tsunade,55094256,1,94,108,165165,190018,35072,755633
40,BassPirateRed,62608636,0,0,0,127633,312614,0,752861
55,Boemen,37461942,0,0,0,165211,62932,75438,743703
240,Lýnx Farm Boss,63115280,318400,0,0,45361,120645,73195,725821
489,ll Taiga ll,19036336,34866,0,0,166083,167455,34273,706631
96,DaBanker jr,23041197,0,0,0,89491,287107,3088,682233
124,Explosive Skull,13371305,0,0,0,64241,287861,0,639963
570,么 Explech 么,62289360,0,0,0,255131,170535,0,596201
442,Tôn Vủ,67663968,2,0,0,115758,199797,12896,592728
401,ˢᵑ SimonLP,75075936,0,0,0,127098,176290,9,479732
443,UmayKhan,84881332,0,0,0,152400,147675,0,447750
131,Fatima Azahra,78593770,2095247,1350,0,298633,65049,0,428731
362,SEMRUK,43133759,0,0,0,99184,159149,0,417482
314,Tante Jin,63495915,58,130,0,139421,119447,4787,407037
9,AMNA CASB,51213820,8373,0,0,91198,143208,0,377614
73,CallMeTea1,15888946,771,492,4238,64960,10478,42457,340658
480,Killer X Robobo,95677486,0,0,0,59347,120486,0,300319
283,NjörD Farm,66144116,0,0,0,298987,0,0,298987
455,Wiggly lou,12529038,4,0,197,45176,43451,20912,257550
62,Byxoy Batya,23038649,0,0,0,38966,94643,0,228252
42,BaxeN,63790695,0,0,0,29886,90146,0,210178
287,KowC,70504681,0,1148,0,60467,41740,0,143947
315,H O P E L E S S,49691603,0,0,0,47239,47554,0,142347
23,Apocó,18881145,0,0,0,9973,19588,14506,136185
561,ヤ DarkHadi,72502696,0,0,0,29245,51109,0,131463
155,GroundZilla,63918303,0,0,0,41786,39507,0,120800
450,VonLohengramm,85009635,0,0,0,18436,45001,0,108438
541,ᴹᴰAken,84425529,1252907,19,0,13897,996,13917,99391
562,ヤGetLost,84039013,37,0,0,95585,0,0,95585
603,모조 Mojo M,63082694,0,0,0,18626,37155,0,92936
504,sh3rl0ck,17742942,1,0,0,13766,36894,0,87554
347,RichCheese,63636671,1,0,0,42834,19662,0,82158
317,YourLapu2xYard,65094873,0,0,0,6881,28710,0,64301
129,FarmingBubbles,21257492,0,0,0,0,27191,0,54382
296,Pulcino PICCO,73495285,0,0,0,54160,0,0,54160
24,Aquilasia,62763532,0,0,0,12426,11348,0,35122
358,RunnerD,55584994,1,0,0,6670,11097,0,28864
435,TheTrueFarmer,41855461,0,0,0,4442,5347,0,15136
78,Castle Black69,68737021,404,112570,0,0,0,2014,12084
264,Miniᴳᴺᴳ,55136170,0,0,0,4893,877,0,6647
123,Executioner V3,22926716,0,0,0,4723,0,0,4723
261,Mini HYDRA,34330811,0,0,0,0,1741,0,3482
583,尤吉歐Eugéo,68007996,0,0,0,1287,0,0,1287
367,Schylur,20528847,0,0,0,561,0,0,561
19,Amaiaz,25866777,0,0,0,0,0,0,0
28,A죽음,66226973,0,0,0,0,0,0,0
48,BigLoai,69220396,1,0,0,0,0,0,0
58,BubblesLvs2Farm,58698652,0,0,0,0,0,0,0
89,Corhejlo,5128347,0,0,0,0,0,0,0
108,DolphynPanchito,10078313,0,0,0,0,0,0,0
121,Evangelion00,76274398,0,0,0,0,0,0,0
128,Fallin0001,39666473,0,0,0,0,0,0,0
146,GIYU T0MI0KA,97830892,11299,35276,0,0,0,0,0
205,Killplus,58310757,0,0,0,0,0,0,0
225,Lazzys beefstew,40419140,0,0,0,0,0,0,0
234,Lil Flexy I am8,73915182,2003,22999,0,0,0,0,0
241,M WARSONGᴿᴬ,67465056,0,0,0,0,0,0,0
253,Marsh Farm 1,1181144,0,0,0,0,0,0,0
262,Mini Marsh 01,1519039,0,0,0,0,0,0,0
263,Mini Marsh 02,1518877,0,0,0,0,0,0,0
280,CRI tiểu miu,60244782,0,0,0,0,0,0,0
343,Ranger 61,24899358,0,0,0,0,0,0,0
359,RussDaRabbit VS,80867484,0,0,0,0,0,0,0
436,TheWhiteAki,14739629,0,0,0,0,0,0,0
439,ZR Hüntęr,53653040,0,0,0,0,0,0,0
474,Zãnøagã F7,10918651,0,0,0,0,0,0,0
491,lovebird1,79101788,0,0,0,0,0,0,0
495,mini Hoolee,5551404,0,0,0,0,0,0,0
520,Îrïs,25782702,0,0,0,0,0,0,0
542,ᴹᴰKentttyyy,9589695,0,0,0,0,0,0,0
577,义Pirate义,77753647,1,0,0,0,0,0,0
604,황신원 of Rose,49964501,0,0,0,0,0,0,0
271,MrBANvn,78823033,-122965,-592095,-645809,-3046661,-157680,431506,-772985
559,メDorukメ,79819300,859808,248928,489748,2475826,768452,-874240,-1232710
216,LORDOFDRAGONS,43893200,-200000,-300000,-100000,-1000000,-162520,0,-1325040
568,乄Daver乄,9775721,-33344,-7950,-42942,-1660207,-563291,42760,-2530229
530,معصب المهاجرB,62770125,-283894,-3000000,-3999712,-1908970,-457703,20685,-2700266
602,齐天大圣17,57069821,-200000,-200000,-100000,-1000000,-1029258,0,-3058516
325,Princeツ,85918614,15635,4804,52508,448484,305873,-784177,-3644832
106,Dixie  Normous,17539883,-20000,-1000,-20000,-2600000,-1300300,0,-5200600
508,small big boy,76251114,33608,7213,2260,2828778,3666146,-2872671,-7074956
444,User 21,13373896,-30000000,-498515,-30000,-5890638,-2939932,48447,-11479820
291,BabyfuzZy,12168629,-586963,-385893,-1989799,-19215546,-10963691,486240,-38225488
605,Ｓｌoｔｈ,10621502,2238,407,110,800625,1171131,458794,
