,,Gov Id,T1 Diff,T2 Diff,T3 Diff,T4 Diff,T5 Diff,Deads,Formula
227,暗 Sham 叁肆,16921563,130884,4907,28232,3866554,4432099,967193,18533910
81,ᴄʜᴀᴘᴏ,12877754,22982,2806,290821,4112506,5404546,582418,18416106
445,VARTOLÒ,52375803,15095,2233,4391,3559624,4702741,869991,18185052
97,DaProd,73870935,298445,144720,25851,5307441,5409355,339478,18163019
222,Lazy Lýnx,63013160,17691,8309,42201,2513746,4199034,1201433,18120412
144,HASAN TIR0,51304605,283966,16927,12209,6707790,4034021,547638,18061660
250,MadPharoh,39759597,150697,27465,90588,3749185,5432990,565595,18008735
482,the PuNisHeR,76923099,5619079,6041387,9359209,7632904,169624,1657444,17916816
151,Maru AF,17736708,65773,13796,174,2193060,3460549,1457151,17857064
385,ItsAki,9957322,147690,159879,41334,3046815,3327580,1331821,17692901
437,TimeWizard x,51632421,1387219,137123,100468,2932120,2550799,1575167,17484720
525,ɳɢʋpɪ OG,59010105,66824,48945,1039,4748417,4208527,685685,17279581
169,Holdimonster,3747243,87002,7808,3,2654437,3965937,1092340,17140351
224,Lazy ﾒ Blue,62946708,32668,10913,3215,3634300,4966211,542755,16823252
485,fluorin4ek,54378153,27226,92225,934,3605937,4314619,754163,16760153
45,BerryMuffins,16512590,63363,7966,2425,3377897,3551155,1041335,16728217
265,Mmarsh,6960423,29470,7693,17591,2171450,3546171,1242722,16720124
372,Drunken Cali,63615619,323064,35200,163699,4035049,4038187,709384,16367727
189,JOLAN,17854556,7874,2345,5,4371480,4625332,453916,16345640
63,Bōt,59324361,4219,60,0,2956710,4796309,629653,16327246
188,Izzy 永,75144155,262665,16399,5231,7272787,2216043,747673,16190911
494,minero21,98013414,2468,2568,9529,3356483,5717270,224684,16139127
239,Lexyyᴿᴬ,76034575,61455,45996,5241,2424364,2691264,1388554,16138216
135,Lazy Phoenician,61944693,78187,5791,20575,2875693,3813278,927280,16065929
499,mustachride,11749129,376763,17427,75723,6951694,2468151,689532,16025188
176,I BlackHeart I,19004552,21638,27256,15288,2671701,4697172,651535,15975255
329,Qitiandsheng永,53459290,23361,372,3288,3846608,4257126,586594,15880424
563,PintossauroRex,40299040,135267,29157,88273,3002191,2865917,1186314,15851909
267,MongD2,58810130,2104,1632,93,2990462,5032850,442378,15710430
43,Beast Doc,34382164,27176,6890,2237,2558769,4087802,800231,15535759
182,i Tommy Shelby,15038629,195516,38444,156278,3881646,3598645,740196,15520112
279,NEMOᴹⱽ,55874646,103928,8616,60577,3698816,2457253,1150307,15515164
208,Drúnken Arina,62608777,43000,6,0,2424226,3922966,841953,15321876
230,ReX ʳᴼᵏ,58216523,65,77017,24150,3424897,5375069,178637,15246857
21,AndrewB2000,7681587,446919,8,85000,3584577,3976420,604130,15162197
41,Battle BEAST,65484538,99952,14405,27342,3865706,4241732,444997,15019152
560,メFeldjager,54912695,7274,72,1,3714254,4578459,357169,15014186
342,Radnaxi,63968661,57560,15612,13161,2066297,2974578,1162240,14988893
245,M3llow Queen x,26877031,8479,7219,4900,3825603,1703341,1283304,14932109
219,Lazy DUST,63453000,54222,29906,1182,4051983,4308758,372762,14906071
454,Wenskiee,84507550,64,0,0,119489,188758,2395425,14869555
565,乂 HYDRA 乂,39250773,109120,388,392,3041879,4579712,442386,14855619
344,GlockDobby,30199415,23957,3568,36589,2217178,3001786,1100254,14822274
598,真心 ąđy,25182362,113403,22537,13728,3221741,3373588,805787,14803639
290,Omniscient いち,43782411,25742,4040,10552,2461786,3473022,879725,14686180
197,Jäzzmine,67202956,134201,16665,64499,2965104,3018692,926824,14563432
218,Lady Manor,13551576,49109,5717,8430,3363062,1712578,1277797,14455000
377,Sir Brraapp,69541181,45640,13008,32410,2181470,2605197,1175891,14447210
113,Dèvalish,76122309,65358,47607,52326,2151376,3022264,1038825,14428854
98,Daduck,53562053,11703,1241,12287,2886406,4153969,536888,14415672
361,SALLOUM44,31352114,6802,2796,9291,4001812,4099554,358930,14354500
229,St0ned Panda420,21998284,42939,6110,46,1462166,2465577,1325600,14346920
126,FHK HellAngel,39637709,66752,1098,4581,3578239,3487130,619312,14268371
5,Pand4Zinc 永,54530345,5346,9086,581,6169892,2450822,526142,14228388
67,CIMO,39412545,93901,7234,32817,3415072,2446018,985771,14221734
251,MaddKING Ragnar,70209602,30795,12007,5846,2821103,2923063,925289,14218963
112,Dårth Invader,41086563,316017,281194,226865,3179492,4078295,465553,14129400
104,DesaSasarean OG,59171934,46395,4252,80,3697432,4395354,269213,14103418
354,TheMachine2211,34054731,4564,45,287,2554913,4647271,359929,14009029
458,Wings of Rainy,44460685,423203,185906,46406,4476028,3064881,560011,13965856
582,实意ʚevyɞ,31895462,63096,13991,10983,2594238,2864593,918508,13834472
254,MarvNNN 46,30236269,26363,9356,97,2611142,3015099,859470,13798160
70,COMANDANDE,59400106,34203,2263,10159,3596840,4086490,323439,13710454
404,ᵂᴬMOSTAFA,46131252,44441,309979,17112,1553582,855057,1735044,13673960
54,Trooper Bobo,96201962,47388,11232,143234,4213394,3331836,462413,13651544
170,Hoolee,5944784,9616,224,157,3167134,3359339,595322,13457744
386,Ch0N,80394569,30529,5468,1698,2139973,2782112,933272,13303829
49,BigTruck,11740217,194143,35692,20966,3246230,2473272,825722,13147106
15,Alischer,6488711,40444,283,63,2467494,3274118,680960,13101490
426,Sytore亗,81772415,2087,29,8,2673114,4550908,218846,13088006
214,LESHiy,62323092,1762,337,1003,2719612,3801444,460246,13083976
524,ĴØЌÉŔR,35538798,45381,28223,5395,3658487,3951212,248732,13053303
232,キトKITOKIちゃんOG,62679050,135142,10891,80843,2341918,3308829,669092,12974128
419,SonStrike,63897345,100998,3227,4452,2405440,2725802,843815,12919934
574,义Headhuntr义,1080643,7181,1918,2313,1520895,3176268,839304,12909255
371,Sgt Muerte,52663991,7132,0,527,2493667,3543517,549695,12878871
204,KillerM92,13780200,45829,29813,17880,4443147,2047472,715554,12831415
281,Nebu l,33851182,26813,12112,1,2659479,3523378,498478,12697103
521,ßIank,75084130,83267,13941,88721,2274792,3445789,582070,12658790
509,tailor p,64044209,39386,1447,312,3537001,3537526,338951,12645759
119,EmhiLy,63122485,162464,13101,37885,2227667,2324187,949057,12570383
235,Liusen,65527076,25240,6706,14233,2883209,4347610,156622,12518161
180,IJOMI OG,76195639,904445,56618,16466,2111834,2866899,769901,12465038
324,Portelá,63595204,41225,31763,848,1725088,2907504,808673,12392134
588,暗 SeroS 戰,20843787,11599,0,0,2565174,3712851,385839,12305910
600,裁决Blade,95678399,24708,2113,2695,2047896,3235623,626380,12277422
393,KvotheSS,49174922,89360,28722,2577,2888397,3538021,378502,12235451
497,moon4lite,20379195,74977,21366,418842,3475711,2979006,462179,12206797
166,High Mage Cowl,53572619,11892,184,2060,2444592,3071556,598812,12180576
90,Cram337,85825206,184181,103465,87626,2382653,2140077,911647,12132689
534,ᴬᵂMalek,90190464,25961,2703,21332,2938893,3867874,242198,12127829
566,乂T E F K A乂,81742039,1875,2428,1741,2087185,3384685,542435,12111165
349,RichKupo,64309507,28323,6875,18249,1851160,2437837,892808,12083682
427,TF26 OG,53639563,86038,21469,30897,2270500,1745724,1051236,12069364
105,Dia X YB,64177151,49492,3458,7964,3588511,3458865,249745,12004711
334,R U M A 云,41779923,27797,2005,5959,4342352,3540272,95572,11996328
346,RickyAF,68599021,33156,9281,15053,1874502,3020504,675821,11970436
503,sant9gо,57442278,2722,578,4680,3080662,3968981,145347,11890706
226,fæ relax 8J,60811314,104570,15014,13476,2911583,3308773,387836,11856145
547,ᴿᵒʸᵃᴵK,51651109,64880,10796,17337,1999479,1940114,994236,11845123
275,MyBubbles,17875970,20561,3107,14104,2261795,3779676,336320,11839067
33,BEP 1,10806254,25521,2877,2949,1642816,2717547,788383,11808208
29,BDGㅊALVINᴿⱽ,64525422,5339,2028,6243,3070794,3703155,219069,11791518
143,Fîshh,62660905,6568,856,1663,2848479,2703314,570500,11678107
140,FrankIyn,7143022,35189,1142,1646,3795813,1044955,952119,11598437
134,FirestormV,63119959,0,0,0,1888170,3384486,486617,11576844
258,Meowkata,13816660,87468,8388,13243,1749226,2048177,947175,11528630
519,Hanie OG,69915557,225547,66132,54077,3744949,2971872,291713,11438971
558,パンダPandà,53565432,14736,1214,3058,2032184,3513387,387626,11384714
177,I M BuồnBank,79498103,47796,38251,10964,2737496,1975507,777376,11352766
552,ᶜCỏ  3 Lá,65767675,1377873,263753,1104210,1274632,388764,1544085,11316670
101,DarthB殺無赦,39190271,98359,182,0,1012538,1258720,1293230,11289358
114,DĒMŒN,61847388,25500,4996,7563,3593070,2866084,313986,11209154
294,PALL0,16709976,50,2575,1253,2284633,2211937,718327,11018469
601,雨Kuma雨,20446496,35360,6243,20634,2518707,2320219,642697,11015327
323,MrPopeNuts,24577697,1183,2940,4,1767761,2651348,654068,10994865
150,Drëkkles,59438289,154228,40567,194867,2979031,2045872,646851,10951881
0,19Alim93,62399898,4366,0,9460,2926717,3451915,171351,10858653
297,PICCO,43307988,75082,12362,290,1292927,2207799,841112,10755197
209,Kiĺĺer wolf,61838834,153240,19610,4842,2091274,3047219,421600,10715312
196,Trooper Morenth,95676642,753946,89732,99183,1812497,2598567,615394,10701995
546,ᴿᴿVARTHAN,78024889,1,0,805,1776588,2427345,673969,10675092
422,Spаniard,76851235,10719,90465,443062,2328458,3425126,240287,10620432
357,Rules OG,76373142,919596,33395,442166,3512277,1217013,771115,10572993
514,xBigWoodx,16710828,8670,36521,0,1158780,2451397,734165,10466564
462,XeLLin,75908772,6033,1346,2246,1140983,2638308,673118,10456307
142,Fàtty,53573536,57147,1416,0,2169063,2886037,418945,10454807
52,Blackshadow26,63559810,382216,77003,50117,1170759,1033069,1200421,10439423
554,くˢᶜᵃʳʸ,29489887,7396,1175,85790,2129025,1759063,798529,10438325
365,SabdopaloN,77946659,26676,1961,15087,1918436,2700683,512888,10397130
30,BDGㅊHR Habib,36145615,11249,58059,6299,2659755,2822878,341369,10353725
459,Wings of Yolo,56223472,355611,9505,26106,1427106,1778665,887505,10309466
20,Amen0sa,38132570,35255,40402,11787,2869677,2856914,281026,10269661
589,暗 Toxic Arrow,17413785,48418,0,0,1805839,3325650,292514,10212223
86,Chuck乂Norris,62399044,60836,212,1471,2007164,3468583,202579,10159804
179,ICHIGO OG,70015615,580437,99081,374888,2492311,1640724,729991,10153705
537,ᴰᴷ mōøvik,76795427,320699,31388,495706,3555700,1134045,721501,10152796
211,Kopi no sugar,64306210,32526,2417,812,2636013,3328742,138524,10124641
506,slanter,43110892,3916,867,471,1189353,3858007,195010,10075427
596,火SmileDance,75398017,1,12,27,2568603,3323052,135603,10028325
286,Nīght Kīng,63480706,175844,164921,12426,2905229,1704985,596082,9891691
341,Rack7,54128420,10272,115439,22191,1459466,2203802,670430,9889650
