Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-11-22,乂BILLY乂,乂BILLY乂,70093676,RK38,"45,850,223","46,707,754","315,870,932","11,863,111","5,141,134","2,521,138","25,051,593","2,130,778","1,582,717,619",35308,"1,966,990"
2021-11-22,乂DEAD MAN乂,乂DEAD MAN乂,85461131,Rt38,"28,095,760","37,401,041","124,738,038","25,240,402","977,549","511,320","9,774,582","897,188","429,490,813",26845,"1,585,129"
2021-11-22,乂JØN GØD乂,乂JON GOD乂,63354285,RX38,"31,520,583","8,159,384","66,010,157","789,468","877,456","606,343","5,605,036","281,081","366,830,144",19808,"2,276,223"
2021-11-22,乂T E F K A乂,乂T E F K A乂,81742039,RP38,"35,194,487","26,466,169","188,641,427","3,827,696","4,517,334","3,188,765","13,256,132","1,676,242","647,388,812",40926,"1,098,160"
2021-11-22,乂TekasHI乂,乂TekasHI乂,69967186,Rt38,"31,739,347","38,583,056","360,074,063","4,499,898","1,592,346","2,099,743","26,023,096","4,367,973","587,392,442",22070,"2,626,249"
2021-11-22,乂WarRioR乂,乂WarRioR乂,39750664,RC38,"24,699,526","611,538","4,423,931","33,977","83,924","123,752","364,342","5,543","889,038,026",4322,"185,384"
2021-11-22,乄 Gembel 乄,乄 Gembel 乄,33305369,RK38,"68,737,759","47,918,581","543,416,504","4,635,662","738,295","1,171,548","29,113,493","12,259,583","1,205,437,815",79440,"4,603,102"
2021-11-22,乄Daver乄,乄Daver乄,9775721,RK38,"48,820,406","2,307,734","28,062,226","33,344","7,950","42,942","1,660,207","563,291","3,776,141,476",11223,"3,516,731"
2021-11-22,么 Explech 么,么 Explech 么,62289360,RR38,"62,161,545","53,114,307","627,508,243","3,513,315","1,780,996","1,590,417","30,770,966","15,458,613","3,402,868,643",85754,"4,922,880"
2021-11-22,么LFA  TR,么LFA  TR,77544243,RX38,"49,163,452","4,014,686","39,372,564","129,530","399,754","329,060","2,589,593","566,749","182,877,153",13308,"2,625,648"
2021-11-22,么LFA TR,么LFA TR,21494429,Ri38,"44,242,925","19,164,659","161,332,284","2,381,322","995,239","1,580,748","13,160,445","1,046,905","2,053,142,098",20672,"4,725,708"
2021-11-22,义 daeny 义,义 daeny 义,67704983,RN38,"25,062,902","2,052,412","3,031,499","1,699,015","88,434","22,467","242,496",0,"1,568,787,710",3719,"7,425"
2021-11-22,义Babyy义,义Babyy义,26254887,RP38,"70,032,175","102,328,472","1,210,992,753","3,968,939","3,666,607","3,803,223","63,014,120","27,875,583","7,761,999,436",74617,"7,632,126"
2021-11-22,义Galatian义,义Galatian义,67184899,RK38,"49,981,139","23,007,999","155,526,547","9,240,226","1,025,111","1,084,820","8,586,784","3,071,058","4,435,287,037",61230,"1,791,169"
2021-11-22,义Headhuntr义,义Headhuntr义,1080643,F38Y,"79,043,167","99,581,438","908,198,704","27,673,500","1,408,646","3,255,058","45,805,820","21,438,414","8,872,520,340",71670,"11,169,629"
2021-11-22,义Kakaroto义,义Kakaroto义,96502129,F38i,"105,466,551","133,344,620","1,296,963,003","2,932,855","3,384,116","9,170,585","110,421,542","7,435,522","2,696,859,235",15334,"3,827,725"
2021-11-22,义Pillow义,义Pillow义,96569933,RK38,"35,155,128","18,841,953","130,381,663","3,170,215","2,576,332","1,348,749","11,573,318","173,339","629,137,075",29136,"500,163"
2021-11-22,义Pirate义,义Pirate义,77753647,RP38,"41,061,714","9,970,708","100,748,834","542,040","865,767","780,363","5,986,332","1,796,206","351,555,916",12605,"1,928,642"
2021-11-22,义Rengoku,义Rengoku,10391630,RR38,"74,733,668","133,494,266","1,664,335,978","2,991,412","1,028,076","2,021,051","89,547,720","37,906,007","2,966,099,777",69642,"7,481,045"
2021-11-22,义Sala义,义Sala义,66466622,RK38,"50,569,956","23,048,724","120,377,556","12,351,802","949,133","1,029,745","6,247,093","2,470,951","1,470,239,163",35681,"2,784,232"
2021-11-22,义ShAdEnO5义,义ShAdEnO5义,61109803,RC38,"36,857,650","2,068,960","17,428,984","250,220","529,450","35,050","890,496","363,744","408,263,199",27836,"3,622,966"
2021-11-22,云 Ericarenee,云 Ericarenee,79607276,RX38,"33,586,261","7,310,700","36,451,377","3,036,196","1,469,873","189,703","2,015,298","599,630","433,537,598",31441,"1,889,742"
2021-11-22,亗 FJ zi 亗,亗 FJ zi 亗,37421375,RX38,"38,099,222","33,981,750","118,365,842","19,908,071","5,736,316","1,390,264","4,159,144","2,787,955","1,267,785,112",20982,"5,045,814"
2021-11-22,亗 Mezy,亗 Mezy,95677291,RR38,"27,438,037","11,207,068","48,320,126","4,033,810","1,433,529","2,378,379","3,209,421","151,929","9,021,052",13379,"214,953"
2021-11-22,亗BLS EVIL亗,亗BLS EVIL亗,40412748,RA38,"74,469,671","86,288,648","815,641,860","6,871,444","6,827,330","8,351,088","51,756,716","12,482,070","5,199,276,688",86690,"3,851,383"
2021-11-22,亗Solo Level,亗Solo Level,95676757,RR38,"26,033,615","5,511,942","30,573,529","1,239,079","763,817","1,255,730","2,129,116","124,200","1,020,411",13462,"262,667"
2021-11-22,亗Āmë,亗Ame,97127787,RR38,"26,092,836","9,166,174","69,148,874","1,902,101","260,253","950,007","5,662,834","390,979","175,105,646",36398,"629,943"
2021-11-22,实意ʚevyɞ,实意ʚevyɞ,31895462,RP38,"71,310,140","64,735,366","672,906,072","11,463,372","996,778","1,925,623","34,607,451","15,742,142","12,418,523,469",100919,"11,481,880"
2021-11-22,尤吉歐Eugéo,尤吉歐Eugeo,68007996,F38N,"37,117,449","23,086,344","116,251,840","5,617,683","5,137,019","4,018,139","7,748,835","564,668","720,000,395",29483,"480,870"
2021-11-22,尺V AsiF,尺V AsiF,62017843,RK38,"42,283,760","9,556,458","65,364,100","2,682,641","587,300","1,144,818","4,376,028","765,671","1,197,771,214",23429,"1,134,918"
2021-11-22,屮 Escan0r 屮,屮 Escan0r 屮,79360533,Ri38,"27,612,073","7,316,401","71,826,217","462,987","297,907","393,229","5,368,067","794,211","46,409,777",17259,"1,756,184"
2021-11-22,恒纪元之星,恒纪元之星,42882386,RH38,"37,533,764","1,506,593","12,243,694","107,204","49,685","239,016","1,104,694","5,994","2,430,706,186",13730,"699,809"
2021-11-22,愛麗絲Alíce,愛麗絲Alice,95560188,RR38,"33,617,741","46,001,459","189,849,670","12,436,223","13,824,573","6,629,180","12,903,310","208,173","84,288,000",54696,"755,171"
2021-11-22,暗 Moises P,暗 Moises P,17376374,RR38,"91,007,610","80,141,996","836,957,649","9,828,677","1,260,252","2,977,940","50,094,289","15,980,838","2,698,204,527",58047,"5,074,292"
