,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,TK By Kills
244,2021-11-23,Đumoƞt,Dumont,37765024,RA38,57970242.0,12700406.0,151175767.0,3167705.0,936010.0,974854.0,7102005.0,3687537.0,10506584187.0,37356.0,4241177.0,151175767.0,15868111.0
606,2021-11-23,RussDaRabbit VS,RussDaRabbit VS,80867484,Rt38,34627627.0,0.0,8200920.0,80533.0,126236.0,82198.0,711735.0,24310.0,275696226.0,16814.0,299549.0,8200920.0,1025012.0
