,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
705,705,5266,2021-12-29,Alungga,Alungga,23896432,RK38,59948460.0,180804592,-1954255240,11214753,4370273,3082795,92533804,69602967,0,0,0,2340712056.0,109127418.0,23283.0,1976.0,12225.0,3165411.0,3870790.0,-8728562895.0,-9424150.0
733,733,3838,2021-12-09,schys,schys,25459192,[{Hp38]Humble plebeians,25420347.0,211618,1923910,27252,0,0,176886,7480,0,5325,65092,1923910.0,0.0,0.0,0.0,0.0,0.0,0.0,-5010162335.0,0.0
764,764,3462,2021-12-09,Oreana,Oreana,25947549,Hp38,26297280.0,402020,536468,368904,132,6,19716,13262,0,3867,657286,536468.0,0.0,0.0,0.0,0.0,0.0,0.0,-4742692313.0,0.0
783,783,3384,2021-12-09,M3llow Queen x,M3llow Queen x,26877031,Ri38,70113921.0,19935544,279189534,194761,141668,129984,11103531,8365600,0,41355,3806168,279189534.0,0.0,0.0,0.0,0.0,0.0,0.0,-5441935427.0,0.0
785,785,5633,2021-12-29,M3llow Queen x,M3llow Queen x,26877031,Ri38,60415579.0,25485086,351548118,203240,148887,134884,14929134,10068941,0,42186,5089472,351548118.0,59775194.0,8479.0,7219.0,4900.0,3518266.0,1227840.0,-5536935427.0,1247889.0
820,820,5502,2021-12-29,Hoolee fm,Hoolee fm,27794057,F38b,26741682.0,123530,1428354,63,0,3648,98263,21556,0,3758,770846,1428354.0,0.0,0.0,0.0,0.0,0.0,0.0,-4942747014.0,0.0
893,893,5161,2021-12-14,くˢᶜᵃʳʸ,くsᶜaʳy,29489887,RR38,68798978.0,7111258,268965307,84716,57420,79956,6889164,2,5502524456,50230,4478148,69343287.0,2886970.0,-600000.0,-300000.0,-700000.0,-9968119.0,-4676693.0,0.0,0.0
899,899,4476,2021-12-14,HAYzOM,HAYzOM,29587991,RK38,62590126.0,3717096,448401615,434696,54756,871981,2139602,216061,2284685873,68329,4729133,29401615.0,13518066.0,-7987663.0,-679461.0,-1000000.0,-19595366.0,-10128591.0,0.0,0.0
933,933,2136,2021-12-02,Crystål,Crystal,30844064,RH38,35348659.0,1169699,9808354,55507,282026,804118,26029,2019,0,8350,471980,4092295.0,0.0,18125.0,226519.0,522092.0,-778089.0,-24010.0,-7905564363.0,0.0
934,934,3140,2021-12-09,Crystål,Crystal,30844064,Hp38,35358171.0,1205062,9808354,37382,55507,282026,804118,26029,8183335032,8389,471980,9808354.0,0.0,-18125.0,-226519.0,-522092.0,778089.0,24010.0,8183335032.0,0.0
964,964,3582,2021-12-09,SALLOUM44,SALLOUM44,31352114,RP38,47264683.0,33150021,288044062,7491704,2971514,1389406,15090287,6207110,0,72420,4122917,288044062.0,0.0,0.0,0.0,0.0,0.0,0.0,-5228003385.0,0.0
984,984,6185,2021-12-29,乄 Gembel 乄,乄 Gembel 乄,33305369,RK38,64216502.0,5815479,765733898,139471,48507,190650,5436851,0,1420413311,83992,5647064,55256018.0,172692251.0,-4498954.0,-689788.0,-980898.0,-24893027.0,-14132620.0,214975496.0,1038582.0
1053,1053,4306,2021-12-14,Beast Doc,Beast Doc,34382164,RR38,87494569.0,195438688,-1931738759,6951297,5497585,8517987,117266522,57205297,0,0,0,2363228537.0,44249830.0,5499.0,0.0,0.0,952453.0,1736210.0,-6938150337.0,-10178564.0
