,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
1053,1053,4306,2021-12-14,Beast Doc,Beast Doc,34382164,RR38,87494569.0,195438688,-1931738759,6951297,5497585,8517987,117266522,57205297,0,0,0,2363228537.0
1120,1120,3933,2021-12-09,ナハト ファウスト,ナハト ファウスト,36594863,Rw38,30238752.0,454168,4678476,11452,3,0,417808,24905,0,0,0,4678476.0
1159,1159,4492,2021-12-14,Holdimonster,Holdimonster,3747243,RP38,108102054.0,116742837,1408446713,2758048,4171186,6380053,69463848,33969702,0,69205,16850448,1408446713.0
1241,1241,5163,2021-12-14,サイタマ one punch,サイタマ one punch,38997259,RP38,40351649.0,15769020,161983609,2033968,1829148,574565,7100652,4230687,0,23891,4645918,161983609.0
1284,1284,5434,2021-12-29,FHK HellAngel,FHK HellAngel,39637709,RR38,67913614.0,59056670,614832607,6626729,2476074,2635471,34835469,12482927,0,0,0,614832607.0
1288,1288,3199,2021-12-09,Fallin0001,Fallin0001,39666473,F38N,38138776.0,6393418,63108013,520505,1020251,396725,2974223,1481714,0,15009,4779960,63108013.0
1311,1311,3505,2021-12-09,Pirate Nebu II,Pirate Nebu II,39751049,Rt38,35121421.0,9608685,76080407,1069769,1512410,1242071,4781535,1002900,0,0,0,76080407.0
1349,1349,4581,2021-12-14,Lazzys beefstew,Lazzys beefstew,40419140,F38n,45088000.0,24068367,174009027,3655727,4706569,1972581,11869538,1863952,0,24742,3961461,174009027.0
1350,1350,5590,2021-12-29,Lazzys beefstew,Lazzys beefstew,40419140,F38n,45088000.0,24068367,174009027,3655727,4706569,1972581,11869538,1863952,0,24744,3961461,174009027.0
1356,1356,5099,2021-12-14,vɪcᴛoʀɪᴀ,vɪcᴛoʀɪᴀ,40541417,RR38,41281117.0,13444251,165865680,1316713,185338,324598,6841877,4775725,0,28375,3202662,165865680.0
1393,1393,5770,2021-12-29,PirateカEitschiカ,PirateカEitschiカ,42028782,Rt38,39130363.0,22082169,243346914,1062072,1221642,885809,14110494,4802152,0,30356,4068132,243346914.0
1396,1396,2032,2021-12-02,AndrewB2017,AndrewB2017,4209884,Rv38,30860792.0,1810793,26281109,21038,10978,56054,842373,880350,0,13240,1811319,26281109.0
1412,1412,2314,2021-12-02,King Røar,King Roar,42659448,RX38,32299388.0,8497486,39244891,5380167,50289,53785,2241176,772069,0,22185,1089218,39244891.0
1415,1415,5559,2021-12-29,King Røar,King Roar,42659448,#N/A,32552804.0,625496,39244891,380167,289,3785,241176,79,0,22215,1089218,2505091.0
1425,1425,2834,2021-12-02,slanter,slanter,43110892,RA38,80663810.0,157911931,2013748123,4204377,5172226,4198634,90096562,54240132,0,149087,8704865,2013748123.0
1426,1426,3843,2021-12-09,slanter,slanter,43110892,RA38,80877130.0,157911932,2013748123,4204378,5172226,4198634,90096562,54240132,0,150308,8704865,2013748123.0
1427,1427,5086,2021-12-14,slanter,slanter,43110892,RA38,80830652.0,161134304,2069825054,4208293,5173093,4199105,90923547,56630266,0,151879,8810632,2069825054.0
1428,1428,6089,2021-12-29,slanter,slanter,43110892,RA38,80051342.0,162964545,2102806194,4208293,5173093,4199105,91285915,58098139,0,152703,8899875,2102806194.0
1494,1494,2632,2021-12-02,Slayer X NOBITA,Slayer X NOBITA,45486740,RX38,42971871.0,26266395,115582881,15397365,518649,763955,8331823,1254603,0,0,0,115582881.0
1592,1592,5500,2021-12-29,Hoa Queen,Hoa Queen,49219204,RP38,38926969.0,32522344,86940078,26084394,588940,375670,3042416,2430924,0,21677,5529873,86940078.0
1608,1608,3995,2021-12-09,황신원 of Roseee,황신원 of Roseee,49964501,RO3E,39704618.0,8071826,76441293,618749,929621,5917830,605626,0,4061127743,12407,2835580,31710571.0
1666,1666,4457,2021-12-14,G A M   OG,G A M   OG,51304605,RA38,61735282.0,101588763,875854305,18923006,3089383,5154292,64316787,10105295,0,79628,4250400,875854305.0
