,Governor ID,Name,KVK contrib,Ranking
225,39637709,FHK HellAngel,16323959.0,144
15,11740217,BigTruck,16294454.0,145
714,76034575,Léxyy,16241012.0,146
280,49174922,Slayer X Kvothe,16198263.0,147
643,70209602,MaddKING Ragnar,16182047.0,148
547,6488711,Alischer,16177171.0,149
329,54530345,4Zinc 永,16116388.0,150
181,34054731,RoҜメMACHINEメ,16066637.0,151
398,59171934,DesaSasarean OG,16044000.0,152
161,30199415,RedPrinceAzazel,15989474.0,153
486,63453000,Lazy DUST,15960914.0,154
313,53459290,Qitiandsheng永,15880424.0,155
113,21998284,Legend Kobe,15844668.0,156
718,76122309,Dèvalish,15663274.0,157
544,64525422,BDGㅊALVINᴿⱽ,15607791.0,158
1022,95673384,㐅1 cödè ㋛,15592565.0,159
347,55851284,Mr Kaoz,15494528.0,160
971,90190464,ᴬᵂMalek,15433874.0,161
170,31352114,SALLOUM44,15431768.0,162
460,62608777,Kira Kira Arina,15419765.0,163
595,67202956,Jäzzmine,15390160.0,164
130,25531562,Syaorân Li,15389681.0,165
520,63897345,SonStrike,15368730.0,166
35,13551576,Lady Manor,15313275.0,167
354,56223472,Wings of Yolo,15267983.0,168
315,53562053,Daduck,15240796.0,169
139,26877031,M3llow Queen x,15101741.0,170
222,39412545,CIMO,15090049.0,171
722,76195639,IJOMI OG,14930471.0,172
555,65527076,Liusen,14915923.0,173
896,84507550,Wenskiee,14869555.0,174
534,64177151,Dia X YB,14620462.0,175
480,63122485,Emhily,14543360.0,176
252,43110892,slanter,14422881.0,177
740,76851235,Spаniard,14414222.0,178
308,52663991,Sgt Muerte,14414123.0,179
260,44460685,Wings of Rainy,14321255.0,180
452,62323092,LESHiy,14227938.0,181
102,20843787,暗 SeroS 戰,14173427.0,182
404,5944784,Hoolee,14146065.0,183
497,63595204,Portelá,14124532.0,184
36,13780200,KillerM92,14099724.0,185
402,59400106,COMANDANDE,14086296.0,186
461,62660905,Fîshy,14044830.0,187
86,17875970,MyBubbles,13958617.0,188
611,68599021,No Zig For You,13914300.0,189
1169,96257100,BlēsT,13726681.0,190
434,61847388,DĒMŒN,13631484.0,191
242,41779923,R U M A 云 OG,13631465.0,192
96,20446496,雨Kuma雨,13622523.0,193
726,76251114,small big boy,13606442.0,194
116,22505871,CAP 117,13538932.0,195
760,77946659,SabdopaloN,13472872.0,196
319,53639563,TF26 OG,13441700.0,197
370,57442278,sant9gо,13433297.0,198
635,69915557,Élyséen OG,13312814.0,199
421,60811314,fæ relax 8J,13307987.0,200
244,41925878,n y a,13268747.0,201
587,67133364,Pirate Jmcdo4,13105633.0,202
318,53573536,FàttyPrime,13089110.0,203
193,35538798,ĴØЌÉŔR,13086657.0,204
638,70015615,ICHIGO OG,13025848.0,205
64,16709976,PALL0,12893641.0,206
322,53720198,SinnerPridE,12880273.0,207
37,13816660,Meowkata,12817219.0,208
1030,95676642,Just Morenth,12813165.0,209
829,81742039,乂T E F K A乂,12804276.0,210
254,43307988,PICCO,12788668.0,211
591,67174967,C㋛㋛per,12702735.0,212
731,76373142,Rules OG,12661440.0,213
762,78024889,ᴿᴿVARTHAN,12495018.0,214
537,64309507,RichKupo,12473922.0,215
120,23025917,VEGASS X,12457683.0,216
158,29489887,くˢᶜᵃʳʸ,12236861.0,217
95,20379195,Moon4lite,12206797.0,218
317,53572619,High Mage Cowl,12180576.0,219
75,17413785,暗 Toxic Arrow,12167583.0,220
489,63480706,Nīght Kīng,12094592.0,221
