,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
609,609,1669,2022-01-01,Slayer X Rakay,Slayer X Rakay,21362209,RX38,25332157.0,1750813,17554832,2403,9455,1388,1722145,15422,7882349584,4586,646166,17554832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,2429,5707,2021-12-29,Oddᵗᵘᵍᵃ,Oddᵗᵘᵍa,61647508,Rt38,32812636.0,5644727,38437291,875847,1509169,897701,1558722,803288,464517074,22653,1485455,38437291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4584,4583,6210,2021-12-29,彡2 Angel ヅ,彡2 Angel ヅ,81359161,LF38,25354840.0,508796,3907281,5596,70265,93953,338982,0,1054854959,0,114453,3907281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5246,5245,5771,2021-12-29,Piяate Jєwєl,Piяate Jєwєl,87981918,RP38,25525044.0,5662134,42373827,99668,1236735,1417796,2394946,512989,158973774,14456,1228179,42373827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5765,5763,5101,2021-12-14,x  ACE  x,x  ACE  x,96174821,xACE,25267977.0,6525679,34451809,1287306,1937158,1008428,1956942,335845,193119106,12671,626679,34451809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5949,5946,4938,2021-12-14,Small JMQ,Small JMQ,96257326,RA38,26936540.0,5436872,20395857,2680598,708793,784193,996038,267250,83562524,0,243454,20395857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
