Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,,,
2021-11-23,FirestormV,FirestormV,63119959,RR38,89788301,"59,215,526","810,796,719","834,406","810,360","1,441,857","31,933,637","24,195,266","2,972,462,363","45,417","7,492,215",810796719.2,-0.200000047683716,FALSE
2021-11-23,CISILIA,CISILIA,63774991,RA38,89626799,"83,925,562","886,835,751","9,646,885","5,044,637","4,202,330","44,262,642","20,769,068","4,966,795,423","120,716","7,503,241",886835751,0,FALSE
2021-11-23,tailor p,tailor p,64044209,RA38,89574707,"107,428,686","841,070,729","35,045,289","6,829,989","5,460,381","40,330,037","19,762,990","1,282,929,841","68,181","5,161,344",841070729.8,-0.799999952316284,FALSE
2021-11-23,Grandpa OG,Grandpa OG,8042386,RN38,88402941,"105,030,563","1,300,476,997","2,722,465","1,965,944","1,965,944","67,950,280","30,425,930","4,198,339,664","30,744","21,451,413",1300361557,115440,Y
2021-11-23,ᵗᵉᵃTime,ᵗᵉaTime,15689544,RR38,88355533,"64,761,899","487,596,040","26,732,560","471,046","1,420,434","24,713,148","11,424,711","3,928,713,082","58,784","6,158,669",487596040,0,FALSE
2021-11-23,Ammye 个,Ammye 个,15984647,RK38,87705754,"167,104,037","2,358,737,078","2,270,710","538,156","1,145,136","91,037,462","72,112,573","7,712,014,559","161,776","11,338,767",2358737078,0,FALSE
2021-11-23,Syaorân Li,Syaoran Li,25531562,RR38,87322526,"98,373,777","1,081,164,364","4,336,404","1,985,305","4,350,396","69,510,855","18,190,817","3,497,090,806","46,683","5,467,564",1081164364.8,-0.799999952316284,FALSE
2021-11-23,Sgt Muerte,Sgt Muerte,52663991,RP38,86714874,"56,815,141","624,698,974","874,311","1,573,659","1,176,121","44,714,869","8,476,181","3,284,129,490","28,121","2,197,042",624698974.2,-0.200000047683716,FALSE
2021-11-23,ALMIGHTY BLACK,ALMIGHTY BLACK,39756277,RP38,86344164,"134,379,417","1,388,018,683","7,424,635","23,583,266","15,385,776","48,189,068","39,796,672","1,857,049,380","57,104","4,082,660",1388018683,0,FALSE
2021-11-23,A T L Ã S,A T L A S,62739007,RR38,85779533,"371,853,927","4,448,561,843","9,780,299","4,592,567","9,666,215","255,754,113","92,060,733","5,553,381,226","91,789","13,846,384",4448561843.8,-0.800000190734863,FALSE
2021-11-23,Chrollо,Chrollо,58996561,RR38,85677856,"80,438,628","1,098,777,427","1,349,089","1,385,050","1,600,695","43,274,115","32,829,679","3,058,731,503","113,426","6,657,861",1098777427.8,-0.799999952316284,FALSE
2021-11-23,AbbyRigg Hèró,AbbyRigg Hero,1616635,RP38,85505853,"105,199,987","876,773,456","42,044,770","194,511","231,705","38,753,136","23,975,865","5,249,844,836","53,844","7,035,567",876773456,0,FALSE
2021-11-23,Całî,Cali,85689750,RA38,85252800,"202,322,486","1,855,380,910","16,495,584","14,940,265","16,005,766","133,943,922","20,936,949","2,302,405,582","36,026","6,651,084",1855380910.8,-0.799999952316284,FALSE
2021-11-23,Busterblader,Busterblader,10327115,RR38,84362689,"155,268,938","1,969,516,304","2,828,101","2,309,722","4,605,320","96,460,594","49,065,201","16,839,934,438","168,824","17,838,297",1969516304.2,-0.200000047683716,FALSE
2021-11-23,PM Nicha,PM Nicha,77967742,RR38,84115813,"87,995,137","771,763,544","15,601,803","2,344,289","4,839,759","55,959,015","9,250,271","1,922,245,380","72,195","3,256,288",771763544.6,-0.600000023841858,FALSE
2021-11-23,ItsAki,ItsAki,9957322,RX38,84036917,"78,636,413","717,486,596","29,239,500","196,515","560,154","26,379,983","22,260,261","1,790,618,674","88,108","11,393,513",717486596,0,FALSE
2021-11-23,Irenerene,Irenerene,20533430,RK38,83995127,"121,834,319","1,650,760,358","2,663,600","1,078,596","1,321,184","69,263,307","47,507,632","2,395,136,035","54,604","9,284,336",1650760358,0,FALSE
2021-11-23,BerryMuffins,BerryMuffins,16512590,RA38,83814065,"72,972,144","1,031,975,633","965,578","359,194","988,055","38,607,443","32,051,874","1,642,731,151","53,019","7,672,442",1031975633.6,-0.600000023841858,FALSE
2021-11-23,Mmarsh,Mmarsh,6960423,RA38,83696914,"71,044,087","820,148,275","818,667","1,219,220","1,854,473","53,290,633","13,861,094","3,060,809,259","62,453","7,658,000",820148275.4,-0.399999976158142,FALSE
2021-11-23,Daduck,Daduck,53562053,RA38,83540434,"144,546,407","1,653,677,746","14,422,314","1,661,212","1,788,625","89,316,876","37,357,380","828,050,143","93,620","8,507,304",1653677746.8,-0.799999952316284,FALSE
2021-11-23,sh3rl0ck,sh3rl0ck,17742942,RP38,83316528,"65,717,380","739,661,678","3,688,514","1,811,297","2,499,178","42,906,315","14,812,076","2,691,249,453","53,518","6,139,902",739661678.8,-0.799999952316284,FALSE
2021-11-23,xNJx,xNJx,2796071,RR38,83302565,"136,039,562","1,689,295,275","4,375,848","2,205,197","4,597,853","83,159,498","41,701,166","7,856,696,765","135,999","11,060,002",1689295275.6,-0.599999904632568,FALSE
2021-11-23,PhyxiÂ,PhyxiA,16759370,RA38,82615757,"125,828,676","1,651,483,487","3,325,029","1,195,703","2,239,139","74,190,558","44,878,247","7,080,797,120","86,114","16,894,678",1651483487.8,-0.799999952316284,FALSE
2021-11-23,Radnaxi,Radnaxi,63968661,RA38,82427117,"25,161,965","325,647,115","591,478","746,942","301,414","14,761,334","8,760,797","294,710,354","48,762","4,125,999",325647115.6,-0.600000023841858,FALSE
2021-11-23,ᴄʜᴀᴘᴏ,ᴄʜᴀᴘᴏ,12877754,RR38,82424237,"119,828,106","1,700,532,699","1,499,417","299,616","653,396","65,049,354","52,326,323","9,876,922,364","63,028","10,505,398",1700532699.4,-0.400000095367432,FALSE
2021-11-23,MarvNNN 46,MarvNNN 46,30236269,RA38,82212641,"70,148,437","596,367,899","23,378,287","835,691","1,743,085","30,077,896","14,113,478","5,831,998,179","65,888","4,956,586",596367899.4,-0.399999976158142,FALSE
