Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-12-14,真心 ąđy,真心 ady,25182362,RP38,54855356.0,96629959,814266168,19683594,6834482,7536319,48499607,14075957,10073409449,78458,9808751
2021-12-29,真心 ąđy,真心 ady,25182362,Rt38,53131286.0,100365113,867526769,19792588,6856621,7549945,50366395,15799564,10073409449,80102,10583857
2022-01-01,真心 ąđy,真心 ady,25182362,RP38,51664325.0,103312074,901591373,20022799,6892874,7561474,52314337,16520590,10073409449,81171,10911630
2021-11-22,schys,schys,25459192,[{Hp38]Humble plebeians,25104767.0,211618,1923910,27252,0,0,176886,7480,4644537657,5227,65092
2021-12-02,schys,schys,25459192,,25325947.0,211618,1923910,27252,0,0,176886,7480,5010162335,5303,65092
2021-12-09,schys,schys,25459192,[{Hp38]Humble plebeians,25420347.0,211618,1923910,27252,0,0,176886,7480,0,5325,65092
2021-12-14,schys,schys,25459192,Hp38,25487547.0,211618,1923910,27252,0,0,176886,7480,5010162335,5337,65092
2021-12-29,schys,schys,25459192,Hp38,25709475.0,211618,1923910,27252,0,0,176886,7480,5265985211,5378,65092
2022-01-01,schys,schys,25459192,Hp38,25730275.0,211618,1923910,27252,0,0,176886,7480,5265985211,5380,65092
2021-11-22,Syaorân Li,Syaoran Li,25531562,RR38,87322526.0,98373777,1081164364,4336404,1985305,4350396,69510855,18190817,3497090806,46683,5467564
2021-12-02,Syaorân Li,Syaoran Li,25531562,RR38,88943976.0,98373777,1081164364,4336404,1985305,4350396,69510855,18190817,3497090806,47006,5467564
2021-12-09,Syaorân Li,Syaoran Li,25531562,RR38,89149676.0,98373777,1081164364,4336404,1985305,4350396,69510855,18190817,3497090806,47200,5467564
2021-12-14,Syaorân Li,Syaoran Li,25531562,RR38,89474522.0,98603398,1084668084,4336404,1985305,4350396,69619725,18311568,3497090806,47375,5467564
2021-12-29,Syaorân Li,Syaoran Li,25531562,RR38,86637792.0,101815139,1136058362,4373224,1989287,4350396,70824108,20278124,3497090806,47978,5869830
2022-01-01,Syaorân Li,Syaoran Li,25531562,F380,82910162.0,107460161,1187408422,5021971,2325872,4350396,75088774,20673148,3497090806,48227,6275414
2021-11-22,artemɪsɪa,artemɪsɪa,25534380,RR38,67360652.0,57467544,761602909,1828006,436464,1378735,32163734,21660605,3125657233,109477,6380484
2021-12-02,artemɪsɪa,artemɪsɪa,25534380,RR38,70286416.0,57467544,761602909,1828006,436464,1378735,32163734,21660605,3125657233,109820,6380484
2021-12-09,artemɪsɪa,artemɪsɪa,25534380,RR38,70303140.0,57467544,761602909,1828006,436464,1378735,32163734,21660605,3125657233,109903,6380484
2021-12-14,artemɪsɪa,artemɪsɪa,25534380,RR38,67909679.0,57766004,766683359,1828006,436464,1378735,32252609,21870190,3125657233,110132,6380484
2021-12-29,artemɪsɪa,artemɪsɪa,25534380,Ri38,64471146.0,61511323,819874000,1874853,446690,1390150,34294755,23504875,3125657233,111508,6710672
2022-01-01,artemɪsɪa,artemɪsɪa,25534380,,66000750.0,61524125,820048150,1874853,446690,1390150,34302944,23509488,3125657233,111633,6710672
2021-12-09,UKnowWho,UKnowWho,25538500,Rw38,6345505.0,5144,50948,0,0,82,5062,0,937772,2738,36439
2021-11-22,Îrïs,IrIs,25782702,Hp38,45093758.0,3764342,45401257,63349,26814,194450,2503742,975987,6734214503,15856,1276480
2021-12-02,Îrïs,IrIs,25782702,Hp38,45951578.0,3764342,45401257,63349,26814,194450,2503742,975987,6984302973,15978,1276480
2021-12-09,Îrïs,IrIs,25782702,Hp38,46046566.0,3764342,45401257,63349,26814,194450,2503742,975987,6984302973,16033,1276480
2021-12-14,Îrïs,IrIs,25782702,Hp38,46047378.0,3764342,45401257,63349,26814,194450,2503742,975987,7359959415,16066,1276480
2021-12-29,Îrïs,IrIs,25782702,Hp38,46050078.0,3764342,45401257,63349,26814,194450,2503742,975987,7509690804,16109,1276480
2022-01-01,Îrïs,IrIs,25782702,Hp38,46093828.0,3764342,45401257,63349,26814,194450,2503742,975987,7509690804,16121,1276480
2021-11-22,Amaiaz,Amaiaz,25866777,Hp38,38279392.0,497874,6124281,3045,1146,640,374204,118839,7453164990,8640,769830
2021-12-02,Amaiaz,Amaiaz,25866777,Hp38,38946781.0,497874,6124281,3045,1146,640,374204,118839,8116262074,8738,769830
2021-12-09,Amaiaz,Amaiaz,25866777,Rt38,39130893.0,497874,6124281,3045,1146,640,374204,118839,8116262074,8964,769830
2021-12-14,Amaiaz,Amaiaz,25866777,Hp38,39425212.0,497874,6124281,3045,1146,640,374204,118839,8136262074,8997,769830
2021-12-29,Amaiaz,Amaiaz,25866777,Hp38,39819794.0,497874,6124281,3045,1146,640,374204,118839,8346262076,9110,769830
2022-01-01,Amaiaz,Amaiaz,25866777,Hp38,40069980.0,497874,6124281,3045,1146,640,374204,118839,8346262076,9124,769830
2021-11-22,Oreana,Oreana,25947549,Hp38,25468274.0,402020,536468,368904,132,6,19716,13262,4742692313,3757,657286
2021-12-02,Oreana,Oreana,25947549,Hp38,25815145.0,402020,536468,368904,132,6,19716,13262,4742692313,3813,657286
2021-12-09,Oreana,Oreana,25947549,Hp38,26297280.0,402020,536468,368904,132,6,19716,13262,0,3867,657286
2021-12-14,Oreana,Oreana,25947549,[{Hp38]Humble plebeians,26398593.0,402020,536468,368904,132,6,19716,13262,5235948321,3893,657286
2021-12-29,Oreana,Oreana,25947549,Hp38,26646523.0,402020,536468,368904,132,6,19716,13262,5380286356,3940,657286
2022-01-01,Oreana,Oreana,25947549,Hp38,26697723.0,402020,536468,368904,132,6,19716,13262,5380286356,3947,657286
2021-12-09,A Coffee God,A Coffee God,26164401,Rt38,14590423.0,186767,1208861,41007,32829,6983,101189,4759,228357445,6944,360820
2021-11-22,义Babyy义,义Babyy义,26254887,RP38,70032175.0,102328472,1210992753,3968939,3666607,3803223,63014120,27875583,7761999436,74617,7632126
