,Governor ID,Name,Ranking,Power,KVK Contrib,PS1,PS2
304,75144155,Izzy 永,134,49428777.0,17704853.0,9566534.207007414,9566534.207007568
30,64044209,tailor p,135,85965001.0,17683938.0,24240719.534932695,24240719.53493256
152,11740217,BigTruck,136,80298227.0,17617734.8,21924661.560998134,21924661.560998067
643,95678399,裁决Blade,137,47112155.0,17611797.0,8734963.494575305,8734963.49457545
187,58810130,MongD2,138,65003596.0,17429929.0,15616306.732584575,15616306.732584674
103,17854556,JOLAN,139,76343230.0,17314788.0,20290116.06376362,20290116.063763604
28,63119959,FirestormV,140,92278414.0,17266581.0,26753510.07922203,26753510.079221815
149,36145615,BDGㅊHR Habib,141,97147352.0,17117492.0,28618731.097561188,28618731.09756091
301,76034575,Léxyy,142,51634384.0,17081012.796,10378179.576483564,10378179.576483723
106,33851182,Nebu I,143,72371511.0,16954841.0,18644890.163043868,18644890.163043894
2,16710828,xBigWoodx,144,161209792.0,16939852.0,38564272.55634243,38564272.55634314
412,69541181,Sir Brraapp,145,39510344.0,16928236.0,6180787.185483917,6180787.185484005
160,26877031,M3llow Queen x,146,61143659.0,16821741.0,14059104.732005129,14059104.732005253
59,85825206,Cram337,147,75203662.0,16820873.0,19818022.620961934,19818022.620961927
168,6488711,Alischer,148,70703391.0,16737171.0,17955133.993044723,17955133.99304477
229,75084130,ßIank,149,60160831.0,16676511.372000001,13667359.493686428,13667359.493686564
387,76373142,Rules OG,150,45836026.0,16661440.0,8286741.238021149,8286741.238021292
186,62608777,Kira Kira Arina,151,64403589.0,16599765.0,15372511.555989249,15372511.555989357
176,21998284,Legend Kobe,152,64176499.0,16544668.004,15280392.029350799,15280392.029350905
214,76851235,Spаniard,153,62048562.0,16534222.0,14421628.240991464,14421628.240991585
267,70209602,MaddKING Ragnar,154,53904694.0,16422047.252,11232126.115616571,11232126.115616726
416,46131252,SlayerX MUSTAFA,155,39077003.0,16353306.0,6044191.747157734,6044191.747157818
203,39637709,FHK HellAngel,156,66397827.0,16323959.0,16184896.927627264,16184896.927627351
129,34054731,RoҜメMACHINEメ,157,71535651.0,16206637.0,18299088.659673534,18299088.659673575
263,63453000,Lazy DUST,158,59118162.0,16180914.0,13254197.19486475,13254197.194864888
197,54530345,4Zinc 永,159,62977135.0,16116388.0,14795341.123607766,14795341.123607881
289,96257100,BlēsT,160,61905870.0,16086681.0,14364350.693672396,14364350.693672521
159,59171934,DesaSasarean OG,161,69432909.0,16044000.0,17430965.38899169,17430965.38899175
242,65527076,Liusen,162,59261143.0,16030541.088,13310699.404653039,13310699.404653177
222,55851284,Mr Kaoz,163,60965970.0,15994528.0,13988121.682215367,13988121.682215497
346,56223472,Wings of Yolo,164,43823371.0,15896144.784000002,7595024.102488831,7595024.102488961
115,53459290,Qitiandsheng永,165,72266968.0,15880424.0,18601623.389945246,18601623.389945276
353,63897345,SonStrike,166,43576165.0,15688730.0,7511397.933351649,7511397.9333517775
307,76122309,Dèvalish,167,52325367.0,15663275.104,10636180.536170771,10636180.536170928
275,64525422,BDGㅊALVINᴿⱽ,168,56706064.0,15607791.0,12308968.896634402,12308968.896634549
299,67202956,Jäzzmine,169,53099102.0,15490160.0,10927079.816533176,10927079.816533335
269,90190464,ᴬᵂMalek,170,58926365.0,15433874.0,13178483.499739636,13178483.499739774
34,25531562,Syaorân Li,171,82910162.0,15389681.0,22997349.88892886,22997349.88892876
48,53562053,Daduck,172,76018226.0,15240796.0,20155497.00020999,20155497.000209976
290,63122485,Emhily,173,49893700.0,15223360.0,9736064.423395544,9736064.423395699
69,21463108,GangstaAza DGAF,174,81831287.0,15145331.0,22555162.042644564,22555162.04264447
225,39412545,CIMO,175,58293234.0,15090049.0,12929207.05351466,12929207.053514805
389,76195639,IJOMI OG,176,48828458.0,14950471.0,9348910.824020544,9348910.824020695
427,84507550,Wenskiee,177,35917842.0,14869555.0,5081057.8933349755,5081057.893335015
63,64177151,Dia X YB,178,85358554.0,14620462.004,23995044.27504025,23995044.27504012
26,20843787,暗 SeroS 戰,179,90044749.0,14573427.0,25874958.379804634,25874958.37980444
93,43110892,slanter,180,79052304.0,14422881.0,21410733.58687264,21410733.586872593
35,52663991,Sgt Muerte,181,87301504.0,14414123.0,24779819.82099521,24779819.820995055
268,44460685,Wings of Rainy,182,58682110.0,14321255.0,13082194.61828069,13082194.61828083
239,62660905,Fîshy,183,61320196.0,14264830.02,14129694.75527979,14129694.755279917
501,68399761,Jurabige,184,37341014.0,14234414.0,5507686.093390871,5507686.09339093
151,62323092,LESHiy,185,62333235.0,14227938.0,14536019.514091663,14536019.514091786
145,59400106,COMANDANDE,186,69941489.0,14166296.0,17640646.7975197,17640646.797519755
521,76251114,small big boy,187,40159505.0,14146442.252,6387357.642498339,6387357.642498435
124,5944784,Hoolee,188,71869421.0,14146065.0,18437133.75852185,18437133.75852189
449,70015615,ICHIGO OG,189,40086111.0,14125848.008,6363886.963227018,6363886.963227114
22,13780200,KillerM92,190,89627102.0,14099724.0,25709310.345419783,25709310.345419597
77,17875970,MyBubbles,191,78468556.0,14018617.0,21169570.4571319,21169570.457131855
399,68599021,No Zig For You,192,45296895.0,13914300.0,8099588.607375004,8099588.607375145
249,53639563,TF26 OG,193,57509364.0,13841700.0,12622027.906717101,12622027.906717246
181,53573536,FàttyPrime,194,64781779.0,13758521.468,15526111.453838969,15526111.453839067
123,53572619,High Mage Cowl,195,74106715.0,13688651.46,19363508.079831887,19363508.079831902
185,61847388,DĒMŒN,196,64521884.0,13631484.0,15420531.704598675,15420531.704598775
180,41779923,R U M A 云 OG,197,73445609.0,13631465.0,19089633.410263415,19089633.410263434
147,20446496,雨Kuma雨,198,60697979.0,13622523.0,13881195.112667058,13881195.112667188
352,67133364,Pirate Jmcdo4,199,50038937.0,13593374.2,9789198.12816643,9789198.128166582
6,22505871,CAP 117,200,108814826.0,13538932.0,32715434.54041751,32715434.540417135
351,41925878,n y a,201,48535224.0,13528747.0,9243142.612983923,9243142.612984078
373,77946659,SabdopaloN,202,53969197.0,13472872.0,11256644.187459443,11256644.1874596
204,57442278,sant9gо,203,63699968.0,13433297.0,15087368.695970785,15087368.695970897
541,81263107,Cimeng OG,204,35951430.0,13327924.0,5090985.79312237,5090985.79312241
246,69915557,Élyséen OG,205,61141431.0,13312814.008,14058214.270709317,14058214.270709442
395,60811314,fæ relax 8J,206,47817953.0,13308005.624000002,8985930.81834646,8985930.81834661
393,69851361,Dod OG,207,44426090.0,13255278.0,7800157.776000834,7800157.776000968
771,95676642,Just Morenth,208,36816621.0,13253166.564000001,5349075.5362318,5349075.536231853
158,7568329,El3ctricity,209,65378075.0,13169958.0,15768748.708857624,15768748.708857719
374,67174967,C㋛㋛per,210,46786784.0,13142735.0,8619995.19552623,8619995.195526376
465,67980415,Erwinlim,211,40797412.0,13110582.0,6592582.8722401885,6592582.872240291
210,35538798,ĴØЌÉŔR,212,62790309.0,13086657.0,14720018.315214347,14720018.31521446
126,16709976,PALL0,213,71265022.0,12893641.004,18187200.130994815,18187200.130994856
135,53720198,SinnerPridE,214,77668027.0,12880273.0,20838536.91055662,20838536.91055659
130,13816660,Meowkata,215,67739272.0,12877219.0,16734392.038902236,16734392.038902313
252,43307988,PICCO,216,61134860.0,12828668.052000001,14055588.111478971,14055588.111479092
576,81742039,乂T E F K A乂,217,40835897.0,12804276.0,6605034.119845121,6605034.119845223
382,78024889,ᴿᴿVARTHAN,218,45822321.0,12495018.0,8281967.216758913,8281967.216759056
86,64309507,RichKupo,219,70253400.0,12473922.0,17769343.245495044,17769343.2454951
23,23025917,VEGASS X,220,86872886.0,12457683.0,24607293.600666426,24607293.600666273
190,45764094,Ring shoes care,221,85502937.0,12403580.0,24053591.269477446,24053591.26947731
137,7143022,FrankIyn,222,66894982.0,12398437.0,16388288.792818481,16388288.792818565
273,63480706,Nīght Kīng,223,57037619.0,12334592.0,12437963.347578673,12437963.34757882
196,29489887,くˢᶜᵃʳʸ,224,64510640.0,12236863.508,15415966.387500389,15415966.38750049
84,20379195,Moon4lite,225,76894544.0,12206797.0,20518413.484976616,20518413.48497659
58,17413785,暗 Toxic Arrow,226,83625948.0,12167583.0,23289917.021609575,23289917.021609467
717,80644934,Pirate Thorine,227,29898755.0,12137084.912,3419001.513730381,3419001.5137303015
85,52618268,Test Knight,228,77536102.0,12126769.792000001,20783953.741091628,20783953.741091594
312,80449273,ʟaᴜʀa OG,229,52426147.0,12102536.0,10673952.259467203,10673952.25946736
230,59438289,GangstaDrëkles,230,59814130.0,12079441.0,13529691.05465474,13529691.054654874
155,51061315,Chinese299,231,66043961.0,12074230.0,16040324.271521049,16040324.271521138
397,76869735,Queen Risk人,232,44593509.0,12070259.0,7857447.688658651,7857447.688658787
349,15800654,Gaia Kight Chao,233,51974498.0,12054624.0,10504958.061178146,10504958.061178304
487,64085623,zaidoun,234,51131876.0,12051104.94,10191641.26687826,10191641.266878419
258,63921213,OSkadon OG,235,58378910.0,12003034.0,12962879.418518607,12962879.418518746
644,83956095,Kyłe,236,36048155.0,11932226.275999999,5119614.1191452835,5119614.119145324
121,51651109,ᴿᵒʸᵃᴵK,237,72372440.0,11915608.0,18645274.66344937,18645274.6634494
297,71824582,TheDarkFuryᶰf,238,54539095.0,11893884.0,11473854.06042269,11473854.060422843
488,68694772,nguyennopro,239,31091624.0,11889710.0,3729158.8788860156,3729158.878885963
223,62399044,Chuck乂Norris,240,61134265.0,11729659.232,14055350.318961535,14055350.318961663
