Governor ID,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
96241549,5891,4014,2021-12-09,Bl4cK Wid0W,Bl4cK Wid0W,Rw38,24464686.0,535589,13605408,310591,58684,58943,95847,11524,4,25682,175242,1604208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96242448,5895,256,2021-11-22,Gilded Goat,Gilded Goat,RK38,38057054.0,11426079,72881487,995618,2684123,2263857,5139093,343388,299116573,10067,813060,72881487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96242763,5901,4021,2021-12-09,CaptainFelixᴿ,CaptainFelixR,Rw38,14254303.0,808716,6464433,145045,79399,72259,425267,86746,31771879,7664,306608,6464433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96244148,5902,3286,2021-12-09,Jagermiester,Jagermiester,RA38,26295596.0,1410582,12495312,81393,249201,53863,875732,150393,560001,14209,185645,12495312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96245101,5906,4039,2021-12-09,Falcon Solider,Falcon Solider,Rw38,10613431.0,186076,1070072,40681,45882,4593,94660,260,0,1993,213631,1070072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96245923,5907,4211,2021-12-09,m3llow mannkalo,m3llow mannkalo,Ri38,19270020.0,385851,3038452,27384,43512,33933,281022,0,238673198,9857,39675,3038452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96246071,5908,4097,2021-12-09,M3llow Thinker,M3llow Thinker,Ri38,22780653.0,1337719,7388290,103450,282700,479375,455918,16276,66468835,20375,190904,7388290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96246383,5910,4198,2021-12-09,Under Boss Para,Under Boss Para,Rw38,16829666.0,2852948,6911293,2064908,99676,145275,514392,28697,27806047,11602,180185,6911293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96248420,5911,4183,2021-12-09,Steelrone,Steelrone,RP38,16621218.0,1942173,10820352,263271,559751,370034,681428,67689,141685091,9921,544759,10820352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96249805,5912,283,2021-11-22,Heimam,Heimam,RR38,25246453.0,14827039,90652074,2593784,2199575,2744907,7102092,186681,108203722,16197,689504,90652074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96250012,5918,4100,2021-12-09,M3llow Tuna,M3llow Tuna,Ri38,21185798.0,223411,586909,91805,90082,4476,37048,0,32000000,7573,11332,586909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96253426,5919,4200,2021-12-09,VceN,VceN,Rw38,14342269.0,391351,3203056,20090,31627,43426,296208,0,8885143,8497,3190,3203056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96253628,5920,191,2021-11-22,Dr Ragnarson,Dr Ragnarson,RP38,24874525.0,3983871,32758020,293091,638692,470162,2209715,372211,133526458,14214,335914,32758020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96253645,5926,4059,2021-12-09,Jounin Temp,Jounin Temp,RK38,20889101.0,1767862,13721777,115396,211116,391779,928207,121364,3445471,10466,191396,13721777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96254479,5927,695,2021-11-22,Trooper Mox,Trooper Mox,Mr38,26384377.0,2785955,15410627,305969,971790,474486,916629,117081,268454371,8508,225575,15410627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96254604,5931,4042,2021-12-09,GangsofWasepur,GangsofWasepur,Rw38,17190586.0,437920,2256432,72360,169073,10176,186311,0,10000,4993,619859,2256432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96254835,5932,4005,2021-12-09,Ashwillmore,Ashwillmore,Rw38,14710625.0,408376,3256417,85109,21681,32056,232279,37251,21256,13013,34394,3256417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96255103,5933,4090,2021-12-09,M3llow JCO,M3llow JCO,Ri38,13385001.0,1039328,4347721,201495,382620,176123,274411,4679,25326607,7812,269358,4347721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96255688,5934,3648,2021-12-09,Slayer X Morlan,Slayer X Morlan,RX38,26835656.0,6422269,49236133,593126,384819,1214785,4110205,119334,119029300,15792,441102,49236133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96256699,5938,4081,2021-12-09,M3llow Death,M3llow Death,Ri38,14623814.0,328460,639837,142748,95564,80220,9928,0,93868930,9428,83325,639837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96256955,5939,4071,2021-12-09,KÖNİGSRASSE,KONIGSRASSE,Rw38,12507077.0,131608,696612,17660,51834,5288,56826,0,5831152,3875,33192,696612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96257100,5940,103,2021-11-22,BlēsT,BlesT,RP38,51036306.0,7444743,66102266,345174,976340,909158,4383750,830321,254381563,13397,688452,66102266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96257326,5946,4938,2021-12-14,Small JMQ,Small JMQ,RA38,26936540.0,5436872,20395857,2680598,708793,784193,996038,267250,83562524,0,243454,20395857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96258082,5949,4096,2021-12-09,M3llow Switch,M3llow Switch,Ri38,19573759.0,8137,1406633,4019,995,280,2842,1,2831468,4989,99628,32353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96258173,5950,4103,2021-12-09,M3llow hello,M3llow hello,Ri38,20627639.0,2094011,14640493,188266,380051,387592,1046967,91135,5977857,12695,244630,14640493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96258521,5951,4106,2021-12-09,MexiSpideyJay,MexiSpideyJay,Rw38,17265419.0,638928,1887585,296379,76514,164178,101857,0,104391972,6972,128557,1887585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96259184,5952,4230,2021-12-09,ㅡLIGHTㅡ,ㅡLIGHTㅡ,RP38,22096628.0,2095155,15179542,159320,181082,563131,1129945,61677,21080000,11532,272126,15179542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96259471,5954,4102,2021-12-09,M3llow Yami,M3llow Yami,Ri38,14877896.0,6545957,16951614,1635790,3701483,694925,383339,130420,24277521,13843,796394,16951614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96259916,5955,4168,2021-12-09,Slayer x yMt3,Slayer x yMt3,RX38,21729852.0,3683162,13230433,2209535,280452,156993,912399,123783,242663945,22639,293650,13230433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96260831,5956,4136,2021-12-09,Pirate SOMALIA,Pirate SOMALIA,Rt38,18680493.0,2785967,12179058,569544,981386,403887,813617,17533,116300244,12549,381070,12179058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96261561,5957,4018,2021-12-09,Capo Spartanu,Capo Spartanu,Rw38,12911512.0,186589,1080254,17134,44997,44801,78551,1106,7651816,6646,310059,1080254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96261631,5958,4093,2021-12-09,M3llow Rëën,M3llow Reen,Ri38,15398709.0,123031,331078,14174,71298,31657,5902,0,96954938,14275,12280,331078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96262558,5959,4213,2021-12-09,master758,master758,Rw38,14760879.0,217961,1374721,39376,45603,9355,123432,195,2601000,3353,88984,1374721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96265202,5960,4023,2021-12-09,Cotton95,Cotton95,RP38,18698829.0,457209,2743524,69540,122896,49741,201578,13454,40677645,5245,59400,2743524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96265209,5961,4223,2021-12-09,økills,okills,Rw38,16402880.0,474352,4161616,24692,32909,59355,329448,27948,2565745,2605,105896,4161616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
