Governor ID, Reason
65767675, offender
75522322, offender
60059471, offender
96287939, offender
96220427, offender
96238954, offender
96245017, offender
54912695, migrated
96204648, zeroed/quit(clint)
55851284, replacing account(kaoz)
95678089, replacing account(kaoz)
15856222, tea's farm migrated?
96708632, left game
71406414, migrated
7696305, farm
15800654, farm
